UID,Name,Position,Age,Club,Wage,Division,Minutes Played,Season,Total Number Of Seasons Stored,Average Rating,SABR Rating,Adjusted Rating,Adjusted SABR Rating,Rating Difference,Aerial Challenges Attempted per 90,Assists per 90,Blocks per 90,Chances Created per 90,Clearances per 90,Cross Completion %,Dribbles per 90,Expected Assists per 90,Expected Goals per 90,Goals per 90,Headers Won %,Interceptions per 90,Key Headers per 90,Key Passes per 90,Key Tackles per 90,Non-Penalty xG per 90,Open-Play Cross Completion %,Open-Play Key Passes per 90,Possession Lost per 90,Possession Won per 90,Pressures Attempted per 90,Pressures Completed per 90,Progressive Passes per 90,Shots Blocked per 90,Shots Outside Box per 90,Shots on Target per 90,Shots per 90,Tackles Won per 90
r-2002247455,Raúl Ávila,Central Attacking Midfielder,27,Charlotte FC,"£146,000 p/a",Major League Soccer,1350,2046,2,6.69,3.18,6.81,5.28,-1.53,4.13,0.2,0.2,2.06,0.33,15.0,1.87,0.16,0.19,0.07,18.0,1.0,0.0,1.47,0.0,0.19,56.0,1.27,11.6,4.27,9.93,2.13,2.53,0.13,1.07,0.67,1.73,1.0
r-2002340182,Alberto Alvarado,Central Attacking Midfielder,30,Colorado,"£224,000 p/a",Major League Soccer,2773,2045,2,6.92,7.21,6.94,6.7,-0.24,4.61,0.16,0.39,2.17,0.78,17.0,1.49,0.17,0.24,0.23,20.0,1.62,0.0,1.82,0.0,0.24,59.0,1.27,13.5,5.42,9.35,2.24,3.12,0.1,1.1,0.84,1.85,1.43
r-2002340182,Alberto Alvarado,Central Attacking Midfielder,31,Colorado,"£224,000 p/a",Major League Soccer,2345,2046,2,6.96,6.18,6.94,6.7,-0.24,5.18,0.12,0.19,1.57,0.5,16.0,1.42,0.19,0.34,0.31,14.0,1.5,0.0,1.8,0.08,0.31,76.0,1.15,12.24,5.91,8.67,2.11,2.8,0.04,1.54,0.88,2.69,1.77
r-2002228644,Ángel Almagro,Central Attacking Midfielder,27,Austin FC,"£1,133,000 p/a",Major League Soccer,3262,2045,2,6.97,7.07,6.96,7.93,0.97,2.15,0.17,0.28,0.86,0.74,14.0,0.74,0.14,0.14,0.14,35.0,1.3,0.06,1.1,0.14,0.08,21.0,0.83,9.27,8.0,11.31,3.17,6.24,0.19,0.69,0.44,1.05,2.1
r-2002228644,Ángel Almagro,Central Attacking Midfielder,28,Austin FC,"£3,437,000 p/a",Major League Soccer,3496,2046,2,6.94,8.79,6.96,7.93,0.97,2.42,0.1,0.23,1.98,0.72,19.0,0.98,0.13,0.17,0.13,28.0,1.65,0.1,1.03,0.1,0.15,80.0,0.9,8.93,8.08,10.79,2.7,6.69,0.15,0.59,0.39,1.16,1.72
r-2002271081,Li Jianjun,Central Attacking Midfielder,25,Real Salt Lake,"£292,000 p/a",Major League Soccer,2813,2045,2,6.8,7.02,6.8,4.06,-2.74,4.0,0.1,0.38,0.28,0.74,66.0,0.8,0.07,0.09,0.1,45.0,1.63,0.26,0.67,0.22,0.09,67.0,0.67,5.92,8.13,8.29,2.5,4.06,0.22,0.38,0.16,0.96,1.54
r-2002271081,Li Jianjun,Central Attacking Midfielder,26,St. Louis CITY,"£363,000 p/a",Major League Soccer,415,2046,2,6.8,1.1,6.8,4.06,-2.74,6.07,0.0,0.0,0.22,0.22,11.0,3.04,0.14,0.24,0.22,50.0,1.3,0.0,0.22,0.0,0.24,11.0,0.22,11.49,4.55,6.07,1.52,2.6,0.0,0.22,1.3,1.95,1.08
r-2002339988,Andy Smith,Central Attacking Midfielder,30,Philadelphia,"£224,000 p/a",Major League Soccer,3193,2045,2,6.77,6.6,6.77,6.39,-0.38,6.17,0.03,0.25,0.51,0.37,13.0,1.32,0.1,0.24,0.28,22.0,1.58,0.0,0.93,0.0,0.24,16.0,0.9,10.46,5.98,10.71,2.56,2.59,0.14,0.48,0.51,1.32,1.21
r-2002339988,Andy Smith,Central Attacking Midfielder,31,Philadelphia,"£224,000 p/a",Major League Soccer,3006,2046,2,6.77,6.18,6.77,6.39,-0.38,5.45,0.12,0.15,1.04,0.45,12.0,1.11,0.15,0.24,0.21,24.0,1.17,0.09,1.35,0.03,0.24,21.0,1.14,9.76,4.88,10.9,2.43,2.31,0.06,0.48,0.54,1.23,1.08
r-2002340404,Stephen Barragán,Central Attacking Midfielder,26,Orlando City,"£355,000 p/a",Major League Soccer,2511,2045,2,6.86,6.46,6.93,4.84,-2.09,7.35,0.11,0.11,0.65,0.22,21.0,1.51,0.1,0.22,0.36,12.0,1.54,0.0,0.93,0.04,0.22,112.0,0.79,9.25,4.98,8.82,2.01,1.04,0.07,0.47,0.57,1.11,1.72
r-2002340404,Stephen Barragán,Central Attacking Midfielder,27,Orlando City,"£355,000 p/a",Major League Soccer,1930,2046,2,7.0,3.23,6.93,4.84,-2.09,8.77,0.05,0.23,0.26,0.19,4.0,0.79,0.1,0.5,0.7,15.0,0.89,0.0,0.75,0.0,0.5,17.0,0.56,5.46,2.8,6.76,1.59,0.79,0.0,0.84,1.31,2.05,1.07
r-2002338287,Juan Manuel Zea,Central Attacking Midfielder,30,Toronto FC,"£777,000 p/a",Major League Soccer,2821,2045,2,6.74,6.41,6.78,7.27,0.49,3.57,0.06,0.26,1.48,0.51,12.0,1.91,0.2,0.16,0.1,22.0,1.12,0.03,1.6,0.0,0.16,46.0,0.99,10.56,4.85,12.06,3.13,2.27,0.03,0.77,0.57,1.5,1.12
r-2002338287,Juan Manuel Zea,Central Attacking Midfielder,31,Toronto FC,"£777,000 p/a",Major League Soccer,3188,2046,2,6.83,8.13,6.78,7.27,0.49,2.48,0.14,0.34,1.21,0.42,37.0,1.55,0.15,0.1,0.14,32.0,1.81,0.0,1.55,0.03,0.1,59.0,0.93,10.61,7.71,11.49,3.05,5.7,0.11,0.42,0.4,0.85,1.5
r-2002339059,Kristian Sara,Central Attacking Midfielder,26,LAFC,"£219,000 p/a",Major League Soccer,2104,2045,2,6.82,6.35,6.91,7.08,0.17,6.67,0.09,0.34,0.57,0.43,18.0,1.2,0.09,0.2,0.17,58.0,1.2,0.6,1.03,0.0,0.2,28.0,0.98,9.71,8.77,12.49,3.34,5.86,0.13,1.07,0.77,2.31,1.75
r-2002339059,Kristian Sara,Central Attacking Midfielder,27,Portland,"£231,000 p/a",Major League Soccer,2415,2046,2,7.0,7.81,6.91,7.08,0.17,5.96,0.11,0.34,0.97,0.6,20.0,0.6,0.12,0.14,0.26,59.0,2.09,0.41,1.42,0.07,0.14,47.0,1.42,10.81,10.77,10.43,3.5,5.66,0.34,0.78,0.78,1.75,1.68
r-2002339815,Max Hartley,Central Attacking Midfielder,25,Seattle,"£214,000 p/a",Major League Soccer,1951,2045,2,6.83,6.16,6.88,8.08,1.2,2.68,0.05,0.23,0.9,0.78,17.0,1.06,0.13,0.11,0.09,34.0,2.03,0.09,1.25,0.05,0.11,113.0,1.25,11.39,9.27,11.12,2.77,7.7,0.09,1.43,0.51,1.71,1.8
r-2002339815,Max Hartley,Central Attacking Midfielder,26,Seattle,"£214,000 p/a",Major League Soccer,3182,2046,2,6.92,10.0,6.88,8.08,1.2,4.75,0.28,0.25,0.35,0.76,33.0,1.61,0.13,0.18,0.17,29.0,1.87,0.06,0.96,0.0,0.18,129.0,0.96,10.38,6.45,10.32,2.6,3.28,0.14,0.76,0.48,1.41,2.15
r-2002261831,Mohamed Shehata,Central Attacking Midfielder,24,LA Galaxy,"£1,200,000 p/a",Major League Soccer,1647,2045,2,6.89,5.9,6.95,7.62,0.67,5.3,0.05,0.44,0.8,0.93,50.0,0.77,0.17,0.09,0.0,65.0,1.91,0.33,1.31,0.11,0.09,97.0,0.82,9.18,13.22,11.64,3.22,6.01,0.27,0.77,0.55,1.26,2.95
r-2002261831,Mohamed Shehata,Central Attacking Midfielder,25,LA Galaxy,"£3,170,000 p/a",Major League Soccer,2430,2046,2,7.01,9.34,6.95,7.62,0.67,4.7,0.19,0.44,1.33,0.93,16.0,1.0,0.2,0.11,0.11,80.0,2.04,0.52,2.07,0.11,0.11,81.0,1.07,10.48,11.04,10.15,2.59,5.78,0.19,1.15,0.85,1.48,2.52
r-2000225867,Jan Franc Barbosa,Central Attacking Midfielder,34,CF Montréal,"£1,262,000 p/a",Major League Soccer,2442,2045,2,6.87,5.69,6.9,6.72,-0.18,5.05,0.11,0.11,2.08,0.37,10.0,1.33,0.21,0.3,0.26,10.0,0.96,0.0,2.21,0.11,0.3,49.0,1.0,12.79,5.82,11.17,3.1,1.92,0.07,1.44,0.74,2.32,1.55
r-2000225867,Jan Franc Barbosa,Central Attacking Midfielder,35,CF Montréal,"£505,000 p/a",Major League Soccer,2994,2046,2,6.94,7.76,6.9,6.72,-0.18,4.81,0.27,0.15,1.22,0.48,20.0,0.84,0.23,0.2,0.3,11.0,1.41,0.0,3.4,0.15,0.2,86.0,0.96,12.38,6.13,10.46,2.92,2.83,0.06,1.08,0.66,1.68,1.86
r-2002258388,Mitch Cooper,Central Attacking Midfielder,26,FC Dallas,"£438,000 p/a",Major League Soccer,2232,2045,1,6.87,5.38,6.87,5.38,-1.49,4.23,0.16,0.2,1.25,0.4,10.0,4.35,0.13,0.29,0.24,18.0,1.73,0.0,0.93,0.08,0.29,29.0,0.93,12.22,6.77,9.72,2.42,2.7,0.0,0.69,0.85,1.94,1.37
r-2002157580,Phumlani Mashego,Central Attacking Midfielder,31,Orlando City,"£779,000 p/a",Major League Soccer,1725,2045,2,6.91,5.16,6.82,6.68,-0.14,2.71,0.21,0.26,2.37,0.63,22.0,0.73,0.19,0.06,0.05,50.0,2.71,0.21,2.24,0.05,0.06,44.0,0.89,13.67,9.81,10.75,3.39,6.42,0.21,0.99,0.42,1.1,1.72
r-2002157580,Phumlani Mashego,Central Attacking Midfielder,32,Orlando City,"£1,566,000 p/a",Major League Soccer,2485,2046,2,6.74,8.21,6.82,6.68,-0.14,5.0,0.18,0.25,3.41,0.54,23.0,1.52,0.15,0.16,0.04,46.0,2.72,0.14,2.03,0.0,0.16,56.0,0.8,15.65,9.49,10.79,2.68,4.09,0.04,1.38,0.43,1.99,1.7
r-2002339942,Mattis Bühler,Central Attacking Midfielder,28,Toronto FC,"£745,000 p/a",Major League Soccer,2848,2045,2,6.8,5.12,6.94,6.9,-0.04,3.86,0.19,0.03,0.88,0.54,9.0,1.36,0.14,0.45,0.35,8.0,0.66,0.0,1.71,0.03,0.4,50.0,1.01,8.37,2.65,6.1,1.26,1.52,0.0,0.57,0.82,1.83,1.01
r-2002339942,Mattis Bühler,Central Attacking Midfielder,29,Toronto FC,"£745,000 p/a",Major League Soccer,3281,2046,2,7.07,8.68,6.94,6.9,-0.04,3.13,0.14,0.16,1.39,0.22,13.0,1.43,0.18,0.31,0.41,11.0,0.85,0.0,1.81,0.05,0.29,126.0,1.04,11.36,3.54,6.31,1.65,2.47,0.11,0.66,0.8,1.45,0.69
r-2002258436,Samuel López,Central Attacking Midfielder,26,Columbus,"£645,000 p/a",Major League Soccer,2349,2045,2,6.81,4.94,6.7,6.68,-0.02,5.36,0.11,0.15,0.9,0.31,18.0,1.84,0.14,0.14,0.15,13.0,1.61,0.0,1.26,0.0,0.14,50.0,0.84,10.8,4.29,8.97,2.11,2.41,0.04,0.61,0.34,1.0,0.96
r-2002258436,Samuel López,Central Attacking Midfielder,27,Minnesota,"£645,000 p/a",Major League Soccer,3321,2046,2,6.58,8.43,6.7,6.68,-0.02,4.88,0.05,0.19,0.65,0.68,19.0,1.49,0.08,0.03,0.0,17.0,1.82,0.03,1.17,0.03,0.03,92.0,0.57,11.87,6.04,9.84,2.44,3.55,0.03,0.27,0.22,0.43,1.73
r-2002228245,Abdulla Ahmed Al-Naqbi,Central Attacking Midfielder,27,Nashville,"£364,000 p/a",Major League Soccer,1974,2045,2,6.75,4.84,6.89,4.18,-2.71,3.42,0.23,0.09,1.94,0.36,23.0,1.78,0.15,0.16,0.09,16.0,1.41,0.0,2.01,0.05,0.16,71.0,1.05,12.4,5.06,9.67,2.46,4.24,0.05,0.96,0.36,1.28,1.46
r-2002228245,Abdulla Ahmed Al-Naqbi,Central Attacking Midfielder,28,Nashville,"£364,000 p/a",Major League Soccer,1237,2046,2,7.03,3.52,6.89,4.18,-2.71,3.49,0.29,0.29,1.32,0.36,18.0,1.38,0.16,0.18,0.29,17.0,1.75,0.0,2.11,0.0,0.18,117.0,0.8,11.35,6.91,9.02,2.91,4.58,0.15,1.09,0.73,1.53,1.31
r-2002137311,Remy Levy,Central Attacking Midfielder,33,New England,"£608,000 p/a",Major League Soccer,2480,2045,2,6.67,4.7,6.68,3.06,-3.62,1.85,0.04,0.25,2.15,0.44,0.0,1.74,0.13,0.11,0.11,14.0,0.91,0.0,1.27,0.0,0.11,22.0,0.69,13.68,4.1,10.38,2.36,2.36,0.04,0.44,0.29,0.8,0.76
r-2002137311,Remy Levy,Central Attacking Midfielder,34,New England,"£608,000 p/a",Major League Soccer,748,2046,2,6.68,1.42,6.68,3.06,-3.62,1.68,0.12,0.12,0.12,0.72,0.0,1.56,0.07,0.1,0.12,29.0,1.44,0.0,0.72,0.0,0.1,12.0,0.12,10.23,4.93,10.35,3.25,2.53,0.0,0.36,0.36,0.72,1.44
r-2002340721,Carlos Sandoval,Central Attacking Midfielder,24,Chicago,"£151,000 p/a",Major League Soccer,964,2045,2,6.79,3.18,6.74,2.68,-4.06,3.55,0.09,0.37,1.73,0.56,50.0,0.75,0.1,0.07,0.19,63.0,1.03,0.09,1.4,0.0,0.07,83.0,1.12,11.67,8.22,7.94,2.89,3.08,0.19,0.28,0.37,0.56,1.31
r-2002340721,Carlos Sandoval,Central Attacking Midfielder,25,CF Montréal,"£151,000 p/a",Major League Soccer,977,2046,2,6.7,2.17,6.74,2.68,-4.06,7.28,0.18,0.09,0.94,0.46,0.0,1.01,0.13,0.24,0.18,38.0,0.92,0.09,0.74,0.18,0.24,0.0,0.74,9.67,7.0,9.4,1.84,1.93,0.0,0.46,1.01,1.75,1.38
r-2002338106,George Cavanagh,Central Attacking Midfielder,32,Houston,"£704,000 p/a",Major League Soccer,1390,2045,1,6.75,2.9,6.75,2.9,-3.85,6.22,0.19,0.06,2.93,0.52,0.0,0.91,0.1,0.25,0.19,17.0,1.88,0.0,0.91,0.06,0.25,20.0,0.71,12.24,6.02,10.29,3.24,1.88,0.0,0.65,0.32,1.29,1.62
r-2002215992,Enrico Galli,Central Attacking Midfielder,27,San Jose,"£598,000 p/a",Major League Soccer,1287,2045,2,6.96,2.72,6.94,3.34,-3.6,3.15,0.14,0.28,0.4,0.77,0.0,2.31,0.08,0.23,0.28,27.0,2.24,0.0,0.84,0.07,0.23,0.0,0.77,10.0,7.41,12.31,3.64,4.27,0.21,0.98,0.91,1.75,1.89
r-2002215992,Enrico Galli,Central Attacking Midfielder,28,San Jose,"£637,000 p/a",Major League Soccer,1424,2046,2,6.93,3.95,6.94,3.34,-3.6,4.87,0.19,0.19,4.81,0.32,25.0,2.53,0.34,0.23,0.19,27.0,2.28,0.0,2.28,0.0,0.23,43.0,1.45,12.32,7.39,14.16,4.74,3.67,0.06,0.95,0.57,1.96,1.01
r-2002339045,Dustin Bell,Central Attacking Midfielder,26,San Jose,"£224,000 p/a",Major League Soccer,917,2045,2,6.94,2.49,6.88,3.68,-3.2,1.86,0.2,0.1,0.96,0.79,30.0,1.86,0.22,0.32,0.39,26.0,1.37,0.0,1.77,0.1,0.32,62.0,0.79,13.05,5.2,11.88,3.14,3.63,0.0,1.18,0.79,2.45,2.06
r-2002339045,Dustin Bell,Central Attacking Midfielder,27,Atlanta United,"£224,000 p/a",Major League Soccer,1699,2046,2,6.82,4.87,6.88,3.68,-3.2,5.14,0.11,0.21,0.29,0.58,10.0,1.48,0.16,0.28,0.16,35.0,1.64,0.0,1.7,0.05,0.28,36.0,0.69,13.19,9.91,10.7,2.91,3.92,0.0,1.75,1.11,3.02,2.07
r-2002339578,Rhys Walker,Central Attacking Midfielder,25,Vancouver,"£78,000 p/a",Major League Soccer,948,2045,1,6.66,2.26,6.66,2.26,-4.4,4.65,0.38,0.28,1.56,0.95,0.0,0.95,0.13,0.14,0.09,24.0,0.85,0.0,1.33,0.0,0.14,72.0,0.57,10.54,4.94,10.06,1.9,1.8,0.28,0.09,0.28,0.95,1.14
r-2002125043,Kevin Quintero,Central Attacking Midfielder,34,D.C. United,"£998,000 p/a",Major League Soccer,668,2045,2,6.95,1.93,7.06,1.18,-5.88,4.45,0.13,0.0,2.09,0.4,66.0,0.54,0.37,0.24,0.27,36.0,0.54,0.13,3.64,0.0,0.24,48.0,1.75,12.26,6.6,8.76,2.96,4.04,0.0,2.56,1.48,3.23,2.02
r-2002125043,Kevin Quintero,Central Attacking Midfielder,35,D.C. United,"£998,000 p/a",Major League Soccer,97,2046,2,7.17,0.44,7.06,1.18,-5.88,2.78,1.86,0.93,0.93,0.93,33.0,0.0,0.35,0.38,0.93,100.0,0.93,0.0,1.86,0.0,0.38,33.0,0.93,18.56,4.64,9.28,2.78,4.64,0.93,0.93,2.78,3.71,4.64
r-2002339715,Luiz Buffara,Central Attacking Midfielder,29,Toronto FC,"£704,000 p/a",Major League Soccer,594,2045,2,6.93,1.68,7.0,4.54,-2.46,5.3,0.0,0.15,1.12,0.3,27.0,1.06,0.1,0.38,0.45,26.0,1.82,0.3,0.61,0.0,0.38,61.0,0.61,12.12,6.82,14.7,4.55,2.27,0.0,1.67,1.21,3.18,2.27
r-2002339715,Luiz Buffara,Central Attacking Midfielder,30,Charlotte FC,"£704,000 p/a",Major League Soccer,2304,2046,2,7.08,7.41,7.0,4.54,-2.46,5.9,0.16,0.2,0.94,0.39,16.0,2.34,0.12,0.44,0.47,36.0,1.84,0.04,1.37,0.0,0.35,79.0,1.37,12.03,6.41,11.99,2.81,3.24,0.0,0.98,1.17,2.3,1.72
r-2002288020,Tanner Dolan,Central Attacking Midfielder,25,New England,"£141,000 p/a",Major League Soccer,942,2045,2,6.95,1.6,6.84,1.52,-5.32,3.25,0.38,0.29,2.9,0.67,0.0,1.43,0.17,0.21,0.38,15.0,0.76,0.0,1.05,0.0,0.21,0.0,1.05,10.8,3.73,8.79,2.39,2.77,0.1,0.48,0.67,1.15,1.15
r-2002288020,Tanner Dolan,Central Attacking Midfielder,26,New England,"£141,000 p/a",Major League Soccer,609,2046,2,6.73,1.44,6.84,1.52,-5.32,4.29,0.3,0.0,1.57,0.89,57.0,1.77,0.17,0.14,0.15,3.0,0.59,0.0,2.51,0.0,0.14,83.0,2.22,11.53,4.43,10.2,2.36,2.66,0.0,1.18,0.44,1.48,1.33
r-2002340681,Ulises Zúñiga,Central Attacking Midfielder,25,Houston,"£155,000 p/a",Major League Soccer,566,2045,2,6.72,1.48,6.68,1.36,-5.32,6.36,0.32,0.0,0.0,0.64,5.0,2.39,0.14,0.11,0.0,30.0,1.75,0.0,1.75,0.0,0.11,19.0,0.95,13.99,9.7,10.18,2.7,3.34,0.0,0.8,0.48,1.27,1.91
r-2002340681,Ulises Zúñiga,Central Attacking Midfielder,26,Vancouver,"£155,000 p/a",Major League Soccer,520,2046,2,6.63,1.25,6.68,1.36,-5.32,3.63,0.0,0.17,0.38,1.04,50.0,1.56,0.16,0.06,0.0,24.0,0.87,0.0,1.73,0.0,0.06,71.0,1.21,11.25,3.98,10.73,1.73,1.38,0.0,0.17,0.52,0.52,1.21
r-2002121686,Jonny Camba,Central Attacking Midfielder,33,St. Louis CITY,"£101,000 p/a",Major League Soccer,408,2045,1,6.81,1.47,6.81,1.47,-5.34,4.41,0.0,0.44,1.04,0.66,20.0,1.54,0.2,0.25,0.22,40.0,1.32,0.0,1.99,0.0,0.07,71.0,1.1,21.62,8.82,10.37,2.21,4.41,0.22,1.54,0.66,1.76,0.88
r-2002183217,Timo Figl,Central Attacking Midfielder,30,Vancouver,"£555,000 p/a",Major League Soccer,775,2045,2,6.69,1.39,6.84,4.81,-2.03,4.18,0.0,0.12,0.89,0.12,14.0,1.39,0.06,0.49,0.35,8.0,0.7,0.0,0.7,0.0,0.3,33.0,0.7,8.83,4.3,8.36,2.55,2.55,0.12,1.28,0.93,2.32,1.86
r-2002183217,Timo Figl,Central Attacking Midfielder,31,Vancouver,"£555,000 p/a",Major League Soccer,3170,2046,2,6.98,8.22,6.84,4.81,-2.03,5.25,0.23,0.06,0.52,0.34,35.0,1.45,0.14,0.37,0.43,16.0,1.62,0.0,1.02,0.0,0.26,85.0,0.88,11.21,5.99,10.99,2.92,2.9,0.0,0.43,0.77,1.36,1.5
r-2002340780,Joe Hesmer,Central Attacking Midfielder,24,Houston,"£101,000 p/a",Major League Soccer,484,2045,2,6.77,1.29,3.38,0.64,-2.74,3.72,0.56,0.19,0.69,0.19,28.0,2.05,0.39,0.18,0.0,30.0,1.49,0.0,1.12,0.0,0.18,30.0,0.93,16.18,7.44,12.83,2.79,2.6,0.0,0.19,0.19,0.93,2.6
r-2002340780,Joe Hesmer,Central Attacking Midfielder,25,St. Louis CITY,"£101,000 p/a",Major League Soccer,0,2046,2,0.0,0.0,3.38,0.64,-2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
